timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9303980000,0.08654169,0.012200671,-0.08486552,0.99255204,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304032000,0.08583312,0.012423153,-0.08478403,0.99261785,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304084000,0.085159056,0.01250345,-0.08476573,0.99267644,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304136000,0.08445178,0.012518539,-0.08470548,0.99274176,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304188000,0.08370933,0.012452954,-0.084775016,0.9927995,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304244000,0.082978,0.012225078,-0.08476881,0.9928643,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304296000,0.082187854,0.012127108,-0.08463767,0.9929424,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304344000,0.08155921,0.012102669,-0.084486134,0.9930074,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304396000,0.08084326,0.0120761795,-0.084390044,0.99307454,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304448000,0.080112785,0.0121034235,-0.08451859,0.9931224,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304504000,0.079287395,0.012298977,-0.08453271,0.99318504,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304552000,0.07866065,0.012487245,-0.08472529,0.99321616,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304604000,0.077953845,0.012490809,-0.084905475,0.9932564,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304656000,0.077275686,0.012417233,-0.08499153,0.99330294,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304712000,0.07643182,0.012293873,-0.084866956,0.9933805,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304764000,0.07569337,0.0123688765,-0.0845716,0.99346125,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304812000,0.07498205,0.012441037,-0.08440583,0.9935283,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304864000,0.074257016,0.012432147,-0.0841346,0.9936059,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304920000,0.073487684,0.012363057,-0.08408392,0.99366826,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9304968000,0.07286769,0.012460827,-0.08404509,0.993716,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305024000,0.072135754,0.012257507,-0.08404022,0.9937724,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305076000,0.071455345,0.01215615,-0.08417536,0.99381125,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305124000,0.07076517,0.012298357,-0.08425148,0.9938525,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305176000,0.07004968,0.012306275,-0.08429189,0.9938997,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305228000,0.06936274,0.012331991,-0.08433383,0.9939439,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305280000,0.068664975,0.012449229,-0.084229045,0.99399984,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305332000,0.06788813,0.012716542,-0.08416959,0.9940548,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
9305384000,0.067152746,0.012908041,-0.08417178,0.9941022,-0.9999999,-8.7311505e-11,-1.7462301e-10,0.000616476,10
