timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
9394532000,-1.8658189,-1.9117857,11.736267,1.0
9394536000,1.2672411,1.2984612,11.736267,1.0
9394544000,1.4982996,1.5352026,11.736267,1.0
9394552000,-2.588326,-2.6520855,11.736267,1.0
9394556000,2.6372752,2.702262,11.736267,1.0
9394560000,-2.1891522,-2.243103,11.736267,1.0
9394568000,-3.1498466,-3.2274516,11.736267,1.0
9394572000,2.0396647,2.08993,11.736237,1.0
9394580000,-1.6413857,-1.6818368,11.736237,1.0
9394588000,-0.9022064,-0.9244244,11.736237,1.0
9394596000,4.384891,4.4929247,11.736237,1.0
9394600000,-1.9575827,-2.0058253,11.736237,1.0
9394608000,-2.009416,-2.05893,11.736237,1.0
9394612000,-3.8365762,-3.9311016,11.736237,1.0
9394616000,-2.6672256,-2.732984,11.736237,1.0
9394620000,2.8544834,2.9248133,11.736237,1.0
9394628000,-1.9628116,-2.011178,11.736237,1.0
9394632000,2.7574728,2.825414,11.736237,1.0
9394636000,-2.1046433,-2.156497,11.736237,1.0
9394640000,-1.8071615,-1.8516868,11.736237,1.0
9394644000,2.9331648,3.0054176,11.736237,1.0
9394648000,-1.1891927,-1.218493,11.736237,1.0
9394656000,-2.5881288,-2.651869,11.736237,1.0
9394664000,4.055424,4.155319,11.736237,1.0
9394668000,-4.1355567,-4.2374835,11.736237,1.0
9394672000,-0.96876127,-0.9926375,11.736237,1.0
9394676000,-1.9006301,-1.947465,11.736237,1.0
9394680000,-2.305896,-2.3626995,11.736237,1.0
9394688000,1.089032,1.1158663,11.736237,1.0
9394692000,3.0081635,3.0822856,11.736237,1.0
9394700000,3.1347659,3.211991,11.736237,1.0
9394704000,3.838359,3.932954,11.736237,1.0
9394712000,3.033011,3.1077454,11.736237,1.0
9394716000,1.7012037,1.7431264,11.736237,1.0
9394720000,-1.4067693,-1.4414368,11.736237,1.0
9394724000,1.5524538,1.590705,11.736237,1.0
9394732000,1.8286799,1.8737278,11.736237,1.0
